"Ideia de Conteúdo ",Classificação,Create date,Data do Post,Deadline Conteúdo,Deadline Planejamento,Estratégia,Formato de conteúdo,Funil,Impulsionar,Laddering | Minha marca,Link do post,Meta do Funil,Plataforma,Progresso Matriz,Tema,Tópicos de Conteúdo
Nossos Produtos / Serviços,,22 de setembro de 2025 09:23,,,,Vendas,Carrossel,C3 - Fundo,No,,,C3 - Venda,"Instagram, TikTok, Youtube",Ideia,,Principais Desejos
Quem sou eu,,22 de setembro de 2025 09:23,,,,Autoridade,Video,C2 - Meio,No,,,C2 - Inspirar,"Instagram, TikTok, Youtube",Ideia,,Histórias
Diferencial da Marca,,22 de setembro de 2025 09:23,,,,Autoridade,"Carrossel, Video",C2 - Meio,No,,,C2 - Autoridade,"Instagram, TikTok, Youtube",Ideia,,Perguntas Comuns
Feedbacks,,22 de setembro de 2025 09:23,,,,Vendas,Video,C3 - Fundo,No,,,C3 - Prova Social,"Instagram, TikTok, Youtube",Ideia,,Histórias
3 perguntas para validar se seu posicionamento está claro ou só bonito,,23 de janeiro de 2026 22:58,,,,,,,No,,,,,Ideia,Posicionamento (Databases%20importantes%20-%20n%C3%A3o%20mexer%20nem%20deletar/Temas%20New/Posicionamento%20276cb023eb3b81aaa3fee8d3df8b48f5.html),Dicas
Quer ser reconhecido como autoridade e não só mais um no feed?,,23 de janeiro de 2026 23:16,,,,,,,No,,,,,A Fazer,Posicionamento (Databases%20importantes%20-%20n%C3%A3o%20mexer%20nem%20deletar/Temas%20New/Posicionamento%20276cb023eb3b81aaa3fee8d3df8b48f5.html),Principais Desejos
Como saber se meu posicionamento está certo?,,23 de janeiro de 2026 23:17,01/02/2026,31/01/2026,23/01/2026,Atração,Video curto,C1 - Topo,No,"Especialidade em posicionamento estratégico (%5Bvcpode%5D%20galeria%20principal/Estrat%C3%A9gia%20NORTE/%5Bcompass%5D%20Etapas%20do%20Norte/4%20Como%20voc%C3%AA%20se%20posiciona/%5Bcompass%5D%20norte%20posicionamento/1%20Laddering/LADDERING%20Minha%20marca/Especialidade%20em%20posicionamento%20estrat%C3%A9gico%20276cb023eb3b8198a9ecfa69a377abc3.html), Orgulho do posicionamento (%5Bvcpode%5D%20galeria%20principal/Estrat%C3%A9gia%20NORTE/%5Bcompass%5D%20Etapas%20do%20Norte/4%20Como%20voc%C3%AA%20se%20posiciona/%5Bcompass%5D%20norte%20posicionamento/1%20Laddering/LADDERING%20Minha%20marca/Orgulho%20do%20posicionamento%202cdcb023eb3b80e8a314ddd39ca08c07.html), Organizar a comunicação do negócio (%5Bvcpode%5D%20galeria%20principal/Estrat%C3%A9gia%20NORTE/%5Bcompass%5D%20Etapas%20do%20Norte/4%20Como%20voc%C3%AA%20se%20posiciona/%5Bcompass%5D%20norte%20posicionamento/1%20Laddering/LADDERING%20Minha%20marca/Organizar%20a%20comunica%C3%A7%C3%A3o%20do%20neg%C3%B3cio%20276cb023eb3b81eab42cf7552d881989.html)",,C1 - Seguidores,"Instagram, TikTok, Youtube",Planejando Roteiro,Posicionamento (Databases%20importantes%20-%20n%C3%A3o%20mexer%20nem%20deletar/Temas%20New/Posicionamento%20276cb023eb3b81aaa3fee8d3df8b48f5.html),Perguntas Comuns
Posicionar como generalista é o que te faz parecer iniciante,,23 de janeiro de 2026 23:17,,,,,,C2 - Meio,No,,,,,Ideia,Posicionamento (Databases%20importantes%20-%20n%C3%A3o%20mexer%20nem%20deletar/Temas%20New/Posicionamento%20276cb023eb3b81aaa3fee8d3df8b48f5.html),Erros Comuns
Como uma cliente ajustou o posicionamento e saiu da comparação de preço,,23 de janeiro de 2026 23:17,,,,,,,No,,,,,A Fazer,Posicionamento (Databases%20importantes%20-%20n%C3%A3o%20mexer%20nem%20deletar/Temas%20New/Posicionamento%20276cb023eb3b81aaa3fee8d3df8b48f5.html),Histórias
"Não, posicionar não é escolher um nicho. É escolher uma promessa clara",,23 de janeiro de 2026 23:17,,,,,,,No,,,,,A Fazer,Posicionamento (Databases%20importantes%20-%20n%C3%A3o%20mexer%20nem%20deletar/Temas%20New/Posicionamento%20276cb023eb3b81aaa3fee8d3df8b48f5.html),Mitos
Quer atrair pessoas que valorizam o que você vende e não só curtem seu conteúdo?,,23 de janeiro de 2026 23:17,,,,,,,No,,,,,A Fazer,Audiência (Databases%20importantes%20-%20n%C3%A3o%20mexer%20nem%20deletar/Temas%20New/Audi%C3%AAncia%202f2cb023eb3b809c885ee5c8d67f036a.html),Principais Desejos
