Conteúdo,Data de publicação,Formato,Funil,Guia de conteúdo,Plano,Plataforma,Primeiros posts,Tipo de conteúdo
Diferencial da marca,,Vídeo curto,,Perguntas comuns,Semana 1,"Instagram, TikTok, Youtube",Yes,Primeiro post
Ensine uma forma de usar o seu produto que gere valor para o dia a dia do seu cliente.,,Vídeo curto,C1,Dicas,Semana 3,"Instagram, TikTok",No,
Gerar valor através de um conteúdo que resolva uma dor e realize um desejo do seu público,,,C1,Principais desejos,Semana 1,"Instagram, TikTok",No,
Nunca faça [ERRO],,Vídeo curto,C1,Erros comuns,Semana 3,"Instagram, TikTok",No,
Quem sou eu,,"Vídeo, Vídeo curto",C1,Histórias,Semana 1,"Instagram, TikTok, Youtube",Yes,Primeiro post
"3 Erros ",,Vídeo curto,C1,Erros comuns,Semana 4,"Instagram, TikTok",No,
Fale um benefício ou mais sobre o seu produto que é desejo do seu seguidor.,,Vídeo curto,C1,Principais desejos,Semana 2,,No,
Vou te contar um segredo que vai mudar …,,Vídeo curto,C1,Dicas,Semana 2,"Instagram, TikTok",No,
Esclareça as dúvidas que o seu público tem sobre o seu produto.,,Vídeo curto,C1,Perguntas comuns,Semana 2,Instagram,No,Primeiro post
"Um erro que o seguidor comete + Pauta quente ",,Vídeo curto,C1,Erros comuns,Semana 3,"Instagram, TikTok",No,
Feedbacks,,Vídeo curto,C1,Histórias,Semana 1,"Instagram, TikTok, Youtube",Yes,Primeiro post
Dê dicas de como usar ou seu produto.,,Vídeo curto,C1,Dicas,Semana 4,"Instagram, TikTok",No,
"3 produtos para [X] ",,Vídeo curto,C1,Dicas,Semana 4,"Instagram, TikTok",No,
"Formas de usar o seu produto. ",,Vídeo curto,C1,Perguntas comuns,Semana 3,"Instagram, TikTok",No,
Bastidores da sua empresa.,,Vídeo curto,C1,Principais desejos,Semana 4,"Instagram, TikTok",No,
Conheça a verdade sobre…,,Vídeo curto,C1,Perguntas comuns,Semana 4,"Instagram, TikTok",No,
Nossos produtos (o que vendemos),,Vídeo curto,C1,Principais desejos,Semana 1,"Instagram, TikTok, Youtube",Yes,Primeiro post
Ensine algo que realmente faça diferença na vida do seu cliente.,,Vídeo curto,C1,Dicas,Semana 2,,No,
"Daily vlog de vendas, atendimento ou rotina pessoal.",,Vídeo curto,C1,Histórias,Semana 3,"Instagram, TikTok",No,
"Você faz isso? (descreva a situação, o sentimento)",,Vídeo curto,C1,Erros comuns,Semana 2,,No,
